NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
LeBron James SF,11.1,22.2,50,2.2,6.9,32.1,4.6,5.9,76.8,8.9,15.3,58,1.304,0.55
Anthony Davis PF,9.7,17.2,56.3,0.3,1.3,25.7,6.2,7.9,78.4,9.3,15.9,58.9,1.508,0.57
D'Angelo Russell PG *,6.3,13,48.4,2.7,6.5,41.4,2.1,2.9,73.5,3.6,6.5,55.5,1.339,0.59
Russell Westbrook PG *,5.8,14,41.7,1.2,4.1,29.6,3,4.6,65.5,4.6,9.9,46.7,1.134,0.46
Austin Reaves SG,4,7.7,52.9,1.3,3.4,39.8,3.6,4.1,86.4,2.7,4.3,63.1,1.7,0.62
Dennis Schroder PG,4.1,9.8,41.5,1.1,3.4,32.9,3.3,3.8,85.7,3,6.4,46.1,1.277,0.47
Thomas Bryant C *,4.8,7.3,65.4,0.5,1.2,44,2,2.6,74.1,4.3,6.1,69.7,1.648,0.69
Lonnie Walker IV G,4.2,9.4,44.8,1.6,4.4,36.5,1.6,1.9,85.8,2.6,5,52.2,1.241,0.53
Malik Beasley SG *,4,10.3,39.2,2.5,7.2,35.3,0.5,0.8,61.9,1.5,3.1,48.1,1.078,0.51
Rui Hachimura PF *,3.8,7.9,48.5,0.6,2.2,29.6,1.3,1.8,72.1,3.2,5.7,55.6,1.219,0.53
Jarred Vanderbilt PF *,2.8,5.4,52.9,0.4,1.3,30.3,1.1,1.4,78.4,2.5,4.1,59.8,1.336,0.56
Troy Brown Jr. SF,2.6,6.1,43,1.4,3.7,38.1,0.4,0.5,87.2,1.2,2.4,50.5,1.163,0.55
Kendrick Nunn G *,2.6,6.4,40.6,1.1,3.2,32.5,0.4,0.5,81,1.6,3.2,48.8,1.044,0.49
Patrick Beverley PG *,2.2,5.4,40.2,1.2,3.5,34.8,0.9,1.1,78,0.9,1.8,50.6,1.195,0.52
Wenyen Gabriel F,2.3,3.8,59.6,0.1,0.5,27.8,0.8,1.2,61.9,2.1,3.3,64.7,1.431,0.62
Matt Ryan F *,1.3,4.1,30.6,1.1,2.9,37.1,0.3,0.4,80,0.2,1.2,14.3,0.959,0.44
Mo Bamba C *,1.2,3,40.7,0.6,1.8,31.3,0.7,1.2,54.5,0.7,1.2,54.5,1.222,0.5
Max Christie G,1.1,2.6,41.5,0.6,1.5,41.9,0.3,0.4,87.5,0.4,1.1,40.9,1.208,0.54
Juan Toscano-Anderson SF *,1.1,2.2,50,0.1,0.7,20,0.4,0.5,73.3,1,1.5,63,1.227,0.53
Damian Jones C *,0.9,1.7,54.1,0,0.1,0,0.7,0.9,75,0.9,1.5,58.8,1.486,0.54
Scotty Pippen Jr. G,0.7,2,33.3,0.2,0.5,33.3,0.8,1.5,55.6,0.5,1.5,33.3,1.167,0.38
Cole Swider F,0.4,1.3,33.3,0.4,1.1,37.5,0,0,0,0,0.1,0,1,0.5
Davon Reed SG *,0.4,0.5,75,0.1,0.3,50,0.1,0.5,25,0.3,0.3,100,2,0.88
Sterling Brown SF,0,1,0,0,0.5,0,0,0,0,0,0.5,0,0,0
Total,42.9,89,48.2,10.8,31.2,34.6,20.6,26.6,77.5,32.1,57.8,55.5,1.317,0.54
